"time","ci","metric.mean_avg_processing_time","metric.mean_count","metric.mean_error_count","metric.mean_error_rate"
"2019-12-03T18:14:00.000Z","ANCS Ancillary Services 1","6",,,
"2019-12-03T18:14:00.000Z","CENTIVA","45",,"17",
"2019-12-03T18:14:00.000Z","CKI Check-In Services","220",,"1378",
"2019-12-03T18:14:00.000Z","CKI Event Manager","588",,"16",
"2019-12-03T18:14:00.000Z","CKI Host Event Handler","224",,"0",
"2019-12-03T18:14:00.000Z","Community Portal","21",,"14",
"2019-12-03T18:14:00.000Z","Content Services Travel Protection XML","1288",,"0",
"2019-12-03T18:14:00.000Z","German Tour","20",,"1",
"2019-12-03T18:14:00.000Z","GetThere GTX2","631",,"47",
"2019-12-03T18:14:00.000Z","Master Configuration Tool",,,"65",
"2019-12-03T18:14:00.000Z","Payment FraudCheck Service","364",,,
"2019-12-03T18:14:00.000Z","Payment Internet Payment Engine","900",,"2",
"2019-12-03T18:14:00.000Z","Payment Merchant Services Fees Push Service","19",,,
"2019-12-03T18:14:00.000Z","Payment Merchant Services Fees Query Service","15",,"0",
"2019-12-03T18:14:00.000Z","Payment Merchant Services Fees Sale Service","7",,,
"2019-12-03T18:14:00.000Z","Payment Merchant Services Fees VoidRefund Service","0",,,
"2019-12-03T18:14:00.000Z","Payment PSS Service","712",,"58",
"2019-12-03T18:14:00.000Z","Payment Processor Service","760",,"121",
"2019-12-03T18:14:00.000Z","Payment Query Service","116",,"5",
"2019-12-03T18:14:00.000Z","Payment Remote Service","118",,"0",
"2019-12-03T18:14:00.000Z","REST Application Facade","0",,,
"2019-12-03T18:14:00.000Z","Red App Center",,,"0",
"2019-12-03T18:14:00.000Z","SHS CCRS Universal Message Broker","36.04344694410461",,,
"2019-12-03T18:14:00.000Z","SRW Sabre Red Workspace","80.5",,"5",
"2019-12-03T18:14:00.000Z","SSW Digital Experience AWS","1",,"2",
"2019-12-03T18:14:00.000Z","SSW Service Engine","902",,"273",
"2019-12-03T18:14:00.000Z","Sabre Cruise",,,"0",
"2019-12-03T18:14:00.000Z","Sabre Geographical Services","6",,,
"2019-12-03T18:14:00.000Z","Sabre Web Services","415",,"6045",
"2019-12-03T18:14:00.000Z","Service Health Portal","345.1538433594885","97.33333333333333","90.66666666666667",
"2019-12-03T18:14:00.000Z","T2 Agent Sales Report","41",,"3",
"2019-12-03T18:14:00.000Z","T2 Data Management Services","80",,"53",
"2019-12-03T18:14:00.000Z","T2 EMD Comp Voucher","0",,,
"2019-12-03T18:14:00.000Z","T2 Electronic Tktng HUB","184",,"90",
"2019-12-03T18:14:00.000Z","T2 Ticketing Domain Services","444",,"50",
"2019-12-03T18:14:00.000Z","T2 Web Services","222",,,"222"
"2019-12-03T18:14:00.000Z","UPSITE","18",,"167",
"2019-12-03T18:14:00.000Z","eHotels GDS Shopping Service for Open Systems (ShopServer)","10",,,
"2019-12-03T18:15:00.000Z","ANCS Ancillary Services 1","5",,,
"2019-12-03T18:15:00.000Z","CENTIVA","37",,"37",
"2019-12-03T18:15:00.000Z","CKI Check-In Services","204",,"1401",
"2019-12-03T18:15:00.000Z","CKI Event Manager","185",,"7",
"2019-12-03T18:15:00.000Z","CKI Host Event Handler","199",,"0",
"2019-12-03T18:15:00.000Z","Community Portal","21",,"10",
"2019-12-03T18:15:00.000Z","Content Services Travel Protection XML","5667",,"0",
"2019-12-03T18:15:00.000Z","German Tour","21",,"0",
"2019-12-03T18:15:00.000Z","GetThere GTX2","571",,"72",
"2019-12-03T18:15:00.000Z","Master Configuration Tool",,,"66",
"2019-12-03T18:15:00.000Z","Payment FraudCheck Service","366",,,
"2019-12-03T18:15:00.000Z","Payment Internet Payment Engine","989",,"0",
"2019-12-03T18:15:00.000Z","Payment Merchant Services Fees Push Service","18",,,
"2019-12-03T18:15:00.000Z","Payment Merchant Services Fees Query Service","12",,"2",
"2019-12-03T18:15:00.000Z","Payment Merchant Services Fees Sale Service","6",,,
"2019-12-03T18:15:00.000Z","Payment Merchant Services Fees VoidRefund Service","0",,,
"2019-12-03T18:15:00.000Z","Payment PSS Service","696",,"77",
"2019-12-03T18:15:00.000Z","Payment Processor Service","726",,"110",
"2019-12-03T18:15:00.000Z","Payment Query Service","159",,"4",
"2019-12-03T18:15:00.000Z","Payment Remote Service","17",,"0",
"2019-12-03T18:15:00.000Z","REST Application Facade","22",,,
"2019-12-03T18:15:00.000Z","Red App Center",,,"0",
"2019-12-03T18:15:00.000Z","SHS CCRS Universal Message Broker","51.00081645562435",,,
"2019-12-03T18:15:00.000Z","SRW Sabre Red Workspace","77.5",,"5",
"2019-12-03T18:15:00.000Z","SSW Digital Experience AWS","1",,"0",
"2019-12-03T18:15:00.000Z","SSW Service Engine","957",,"228",
"2019-12-03T18:15:00.000Z","Sabre Cruise",,,"0",
"2019-12-03T18:15:00.000Z","Sabre Geographical Services","7",,,
"2019-12-03T18:15:00.000Z","Sabre Web Services","433",,"5337",
"2019-12-03T18:15:00.000Z","Service Health Portal","365.06161808032255","90","89.33333333333333",
"2019-12-03T18:15:00.000Z","T2 Agent Sales Report","42",,"8",
"2019-12-03T18:15:00.000Z","T2 Data Management Services","93",,"36",
"2019-12-03T18:15:00.000Z","T2 EMD Comp Voucher","0",,,
"2019-12-03T18:15:00.000Z","T2 Electronic Tktng HUB","186",,"42",
"2019-12-03T18:15:00.000Z","T2 Ticketing Domain Services","460",,"40",
"2019-12-03T18:15:00.000Z","T2 Web Services","236",,,"236"
"2019-12-03T18:15:00.000Z","UPSITE","275",,"107",
"2019-12-03T18:15:00.000Z","eHotels GDS Shopping Service for Open Systems (ShopServer)","7",,,
"2019-12-03T18:16:00.000Z","ANCS Ancillary Services 1","13",,,
"2019-12-03T18:16:00.000Z","CENTIVA","34",,"26",
"2019-12-03T18:16:00.000Z","CKI Check-In Services","223",,"1483",
"2019-12-03T18:16:00.000Z","CKI Event Manager","159",,"7",
"2019-12-03T18:16:00.000Z","CKI Host Event Handler","195",,"0",
"2019-12-03T18:16:00.000Z","Community Portal","36",,"10",
"2019-12-03T18:16:00.000Z","Content Services Travel Protection XML","1694",,"0",
"2019-12-03T18:16:00.000Z","German Tour","18",,"0",
"2019-12-03T18:16:00.000Z","GetThere GTX2","607",,"29",
"2019-12-03T18:16:00.000Z","Master Configuration Tool",,,"64",
"2019-12-03T18:16:00.000Z","Payment FraudCheck Service","287",,,
"2019-12-03T18:16:00.000Z","Payment Internet Payment Engine","604",,"2",
"2019-12-03T18:16:00.000Z","Payment Merchant Services Fees Push Service","19",,,
"2019-12-03T18:16:00.000Z","Payment Merchant Services Fees Query Service","25",,"0",
"2019-12-03T18:16:00.000Z","Payment Merchant Services Fees Sale Service","8",,,
"2019-12-03T18:16:00.000Z","Payment Merchant Services Fees VoidRefund Service","0",,,
"2019-12-03T18:16:00.000Z","Payment PSS Service","687",,"69",
"2019-12-03T18:16:00.000Z","Payment Processor Service","697",,"121",
"2019-12-03T18:16:00.000Z","Payment Query Service","182",,"11",
"2019-12-03T18:16:00.000Z","Payment Remote Service","18",,"0",
"2019-12-03T18:16:00.000Z","REST Application Facade","0",,,
"2019-12-03T18:16:00.000Z","Red App Center",,,"0",
"2019-12-03T18:16:00.000Z","SHS CCRS Universal Message Broker","55.23063425681457",,,
"2019-12-03T18:16:00.000Z","SRW Sabre Red Workspace","89.5",,"5.5",
"2019-12-03T18:16:00.000Z","SSW Digital Experience AWS","1",,"2",
"2019-12-03T18:16:00.000Z","SSW Service Engine","947",,"255",
"2019-12-03T18:16:00.000Z","Sabre Cruise",,,"0",
"2019-12-03T18:16:00.000Z","Sabre Geographical Services","4",,,
"2019-12-03T18:16:00.000Z","Sabre Web Services","446",,"6567",
"2019-12-03T18:16:00.000Z","Service Health Portal","353.5758806498311","88.33333333333333","86",
"2019-12-03T18:16:00.000Z","T2 Agent Sales Report","50",,"10",
"2019-12-03T18:16:00.000Z","T2 Data Management Services","79",,"34",
"2019-12-03T18:16:00.000Z","T2 EMD Comp Voucher","0",,,
"2019-12-03T18:16:00.000Z","T2 Electronic Tktng HUB","178",,"45",
"2019-12-03T18:16:00.000Z","T2 Ticketing Domain Services","505",,"39",
"2019-12-03T18:16:00.000Z","T2 Web Services","221",,,"221"
"2019-12-03T18:16:00.000Z","UPSITE","15",,"155",
"2019-12-03T18:16:00.000Z","eHotels GDS Shopping Service for Open Systems (ShopServer)","7",,,
"2019-12-03T18:17:00.000Z","ANCS Ancillary Services 1","17",,,
"2019-12-03T18:17:00.000Z","CENTIVA","30",,"23",
"2019-12-03T18:17:00.000Z","CKI Check-In Services","230",,"1253",
"2019-12-03T18:17:00.000Z","CKI Event Manager","168",,"1",
"2019-12-03T18:17:00.000Z","CKI Host Event Handler","200",,"0",
"2019-12-03T18:17:00.000Z","Community Portal","21",,"12",
"2019-12-03T18:17:00.000Z","Content Services Travel Protection XML","1340",,"1",
"2019-12-03T18:17:00.000Z","German Tour","13",,"0",
"2019-12-03T18:17:00.000Z","GetThere GTX2","606",,"26",
"2019-12-03T18:17:00.000Z","Master Configuration Tool",,,"66",
"2019-12-03T18:17:00.000Z","Payment FraudCheck Service","343",,,
"2019-12-03T18:17:00.000Z","Payment Internet Payment Engine","614",,"0",
"2019-12-03T18:17:00.000Z","Payment Merchant Services Fees Push Service","18",,,
"2019-12-03T18:17:00.000Z","Payment Merchant Services Fees Query Service","0",,"0",
"2019-12-03T18:17:00.000Z","Payment Merchant Services Fees Sale Service","6",,,
"2019-12-03T18:17:00.000Z","Payment Merchant Services Fees VoidRefund Service","0",,,
"2019-12-03T18:17:00.000Z","Payment PSS Service","718",,"49",
"2019-12-03T18:17:00.000Z","Payment Processor Service","713",,"93",
"2019-12-03T18:17:00.000Z","Payment Query Service","176",,"10",
"2019-12-03T18:17:00.000Z","Payment Remote Service","20",,"0",
"2019-12-03T18:17:00.000Z","REST Application Facade","0",,,
"2019-12-03T18:17:00.000Z","Red App Center",,,"0",
"2019-12-03T18:17:00.000Z","SHS CCRS Universal Message Broker","56.489839421877065",,,
"2019-12-03T18:17:00.000Z","SRW Sabre Red Workspace","80",,"6",
"2019-12-03T18:17:00.000Z","SSW Digital Experience AWS","1",,"0",
"2019-12-03T18:17:00.000Z","SSW Service Engine","912",,"242",
"2019-12-03T18:17:00.000Z","Sabre Cruise",,,"0",
"2019-12-03T18:17:00.000Z","Sabre Geographical Services","4",,,
"2019-12-03T18:17:00.000Z","Sabre Web Services","449",,"7369",
"2019-12-03T18:17:00.000Z","Service Health Portal","348.38084650202495","98.33333333333333","92.33333333333333",
"2019-12-03T18:17:00.000Z","T2 Agent Sales Report","42",,"0",
"2019-12-03T18:17:00.000Z","T2 Data Management Services","86",,"34",
"2019-12-03T18:17:00.000Z","T2 EMD Comp Voucher","0",,,
"2019-12-03T18:17:00.000Z","T2 Electronic Tktng HUB","188",,"49",
"2019-12-03T18:17:00.000Z","T2 Ticketing Domain Services","546",,"40",
"2019-12-03T18:17:00.000Z","T2 Web Services","229",,,"229"
"2019-12-03T18:17:00.000Z","UPSITE","90",,"250",
"2019-12-03T18:17:00.000Z","eHotels GDS Shopping Service for Open Systems (ShopServer)","7",,,
"2019-12-03T18:18:00.000Z","ANCS Ancillary Services 1","14",,,
"2019-12-03T18:18:00.000Z","CENTIVA","43",,"16",
"2019-12-03T18:18:00.000Z","CKI Check-In Services","218",,"1599",
"2019-12-03T18:18:00.000Z","CKI Event Manager","180",,"3",
"2019-12-03T18:18:00.000Z","CKI Host Event Handler","205",,"0",
"2019-12-03T18:18:00.000Z","Community Portal","19",,"10",
"2019-12-03T18:18:00.000Z","Content Services Travel Protection XML","1487",,"0",
"2019-12-03T18:18:00.000Z","German Tour","35",,"1",
"2019-12-03T18:18:00.000Z","GetThere GTX2","542",,"37",
"2019-12-03T18:18:00.000Z","Master Configuration Tool",,,"68",
"2019-12-03T18:18:00.000Z","Payment FraudCheck Service","321",,,
"2019-12-03T18:18:00.000Z","Payment Internet Payment Engine","673",,"4",
"2019-12-03T18:18:00.000Z","Payment Merchant Services Fees Push Service","18",,,
"2019-12-03T18:18:00.000Z","Payment Merchant Services Fees Query Service","0",,"0",
"2019-12-03T18:18:00.000Z","Payment Merchant Services Fees Sale Service","7",,,
"2019-12-03T18:18:00.000Z","Payment Merchant Services Fees VoidRefund Service","0",,,
"2019-12-03T18:18:00.000Z","Payment PSS Service","694",,"50",
"2019-12-03T18:18:00.000Z","Payment Processor Service","685",,"103",
"2019-12-03T18:18:00.000Z","Payment Query Service","186",,"10",
"2019-12-03T18:18:00.000Z","Payment Remote Service","65",,"0",
"2019-12-03T18:18:00.000Z","REST Application Facade","0",,,
"2019-12-03T18:18:00.000Z","Red App Center",,,"0",
"2019-12-03T18:18:00.000Z","SHS CCRS Universal Message Broker","48.40892376872206",,,
"2019-12-03T18:18:00.000Z","SRW Sabre Red Workspace","76",,"8",
"2019-12-03T18:18:00.000Z","SSW Digital Experience AWS","1",,"0",
"2019-12-03T18:18:00.000Z","SSW Service Engine","949",,"255",
"2019-12-03T18:18:00.000Z","Sabre Cruise",,,"0",
"2019-12-03T18:18:00.000Z","Sabre Geographical Services","14",,,
"2019-12-03T18:18:00.000Z","Sabre Web Services","439",,"6233",
"2019-12-03T18:18:00.000Z","Service Health Portal","373.8188283035222","91","88.33333333333333",
"2019-12-03T18:18:00.000Z","T2 Agent Sales Report","45",,"1",
"2019-12-03T18:18:00.000Z","T2 Data Management Services","83",,"31",
"2019-12-03T18:18:00.000Z","T2 EMD Comp Voucher","0",,,
"2019-12-03T18:18:00.000Z","T2 Electronic Tktng HUB","183",,"53",
"2019-12-03T18:18:00.000Z","T2 Ticketing Domain Services","430",,"48",
"2019-12-03T18:18:00.000Z","T2 Web Services","227",,,"227"
"2019-12-03T18:18:00.000Z","UPSITE","113",,"248",
"2019-12-03T18:18:00.000Z","eHotels GDS Shopping Service for Open Systems (ShopServer)","8",,,
"2019-12-03T18:19:00.000Z","ANCS Ancillary Services 1","10",,,
"2019-12-03T18:19:00.000Z","CENTIVA","29",,"11",
"2019-12-03T18:19:00.000Z","CKI Check-In Services","230",,"1488",
"2019-12-03T18:19:00.000Z","CKI Event Manager","544",,"12",
"2019-12-03T18:19:00.000Z","CKI Host Event Handler","226",,"0",
"2019-12-03T18:19:00.000Z","Community Portal","21",,"12",
"2019-12-03T18:19:00.000Z","Content Services Travel Protection XML","1631",,"0",
"2019-12-03T18:19:00.000Z","German Tour","18",,"0",
"2019-12-03T18:19:00.000Z","GetThere GTX2","558",,"39",
"2019-12-03T18:19:00.000Z","Master Configuration Tool",,,"64",
"2019-12-03T18:19:00.000Z","Payment FraudCheck Service","321",,,
"2019-12-03T18:19:00.000Z","Payment Internet Payment Engine","947",,"0",
"2019-12-03T18:19:00.000Z","Payment Merchant Services Fees Push Service","18",,,
"2019-12-03T18:19:00.000Z","Payment Merchant Services Fees Query Service","0",,"0",
"2019-12-03T18:19:00.000Z","Payment Merchant Services Fees Sale Service","6",,,
"2019-12-03T18:19:00.000Z","Payment Merchant Services Fees VoidRefund Service","15",,,
"2019-12-03T18:19:00.000Z","Payment PSS Service","736",,"52",
"2019-12-03T18:19:00.000Z","Payment Processor Service","707",,"117",
"2019-12-03T18:19:00.000Z","Payment Query Service","197",,"17",
"2019-12-03T18:19:00.000Z","Payment Remote Service","20",,"0",
"2019-12-03T18:19:00.000Z","REST Application Facade","0",,,
"2019-12-03T18:19:00.000Z","Red App Center",,,"1",
"2019-12-03T18:19:00.000Z","SHS CCRS Universal Message Broker","37.82150727883281",,,
"2019-12-03T18:19:00.000Z","SRW Sabre Red Workspace","90.5",,"8",
"2019-12-03T18:19:00.000Z","SSW Digital Experience AWS","1",,"0",
"2019-12-03T18:19:00.000Z","SSW Service Engine","928",,"266",
"2019-12-03T18:19:00.000Z","Sabre Cruise",,,"0",
"2019-12-03T18:19:00.000Z","Sabre Geographical Services","4",,,
"2019-12-03T18:19:00.000Z","Sabre Web Services","434",,"5456",
"2019-12-03T18:19:00.000Z","Service Health Portal","490.06847256804326","94","89.66666666666667",
"2019-12-03T18:19:00.000Z","T2 Agent Sales Report","53",,"0",
"2019-12-03T18:19:00.000Z","T2 Data Management Services","83",,"21",
"2019-12-03T18:19:00.000Z","T2 EMD Comp Voucher","0",,,
"2019-12-03T18:19:00.000Z","T2 Electronic Tktng HUB","169",,"65",
"2019-12-03T18:19:00.000Z","T2 Ticketing Domain Services","427",,"66",
"2019-12-03T18:19:00.000Z","T2 Web Services","226",,,"226"
"2019-12-03T18:19:00.000Z","UPSITE","166",,"186",
"2019-12-03T18:19:00.000Z","eHotels GDS Shopping Service for Open Systems (ShopServer)","7",,,
"2019-12-03T18:20:00.000Z","ANCS Ancillary Services 1","11",,,
